1	0	0	1.00E-06	23.8	3.9
-0.333333	0.666667	0.666667	0.09	23.8	3.9
-0.765945	-0.603794	0.220822	0.09	23.8	3.9
-0.549744	0.437022	-0.711894	0.09	23.8	3.9
1	0	0	1.00E-06	23.8	3.9
-0.333333	0.666667	0.666667	0.5	31.3	11.4
-0.765945	-0.603794	0.220822	0.5	31.3	11.4
-0.549744	0.437022	-0.711894	0.5	31.3	11.4
1	0	0	1.00E-06	23.8	3.9
-0.333333	0.666667	0.666667	1.5	43.8	23.9
-0.765945	-0.603794	0.220822	1.5	43.8	23.9
-0.549744	0.437022	-0.711894	1.5	43.8	23.9
1	0	0	1.00E-06	23.8	3.9
-0.333333	0.666667	0.666667	2	34.3	14.4
-0.765945	-0.603794	0.220822	2	34.3	14.4
-0.549744	0.437022	-0.711894	2	34.3	14.4
1	0	0	1.00E-06	23.8	3.9
-0.333333	0.666667	0.666667	3	38.8	18.9
-0.765945	-0.603794	0.220822	3	38.8	18.9
-0.549744	0.437022	-0.711894	3	38.8	18.9
